# from_node,gender,age,academy,interest            to_node,gender,age,academy,interest
1,0,28,0,0 4,0,26,0,1
1,0,28,0,0 5,0,25,0,1
1,0,28,0,0 6,1,20,0,0
1,0,28,0,0 7,0,27,0,1
1,0,28,0,0 10,1,20,0,0
1,0,28,0,0 13,0,20,0,0
1,0,28,0,0 18,1,22,0,0
4,0,26,0,1 5,0,25,0,1
4,0,26,0,1 6,1,20,0,0
4,0,26,0,1 7,0,27,0,1
4,0,26,0,1 10,1,20,0,0
4,0,26,0,1 13,0,20,0,0
4,0,26,0,1 18,1,22,0,0
5,0,25,0,1 10,1,20,0,0
5,0,25,0,1 18,1,22,0,0
5,0,25,0,1 13,0,20,0,0
5,0,25,0,1 6,1,20,0,0
5,0,25,0,1 7,0,27,0,1
6,1,20,0,0 10,1,20,0,0
6,1,20,0,0 18,1,22,0,0
6,1,20,0,0 13,0,20,0,0
6,1,20,0,0 7,0,27,0,1
7,0,27,0,1 10,1,20,0,0
7,0,27,0,1 18,1,22,0,0
7,0,27,0,1 13,0,20,0,0
10,1,20,0,0 18,1,22,0,0
10,1,20,0,0 13,0,20,0,0
13,0,20,0,0 18,1,22,0,0
